,PCT,CRIME,2012,2013,2014,2015,2016,2017,2018
259,20,FELONY ASSAULT                        ,51.0,57,45,58,65,60,83
260,20,GRAND LARCENY                         ,721.0,712,674,645,641,712,656
261,20,ADMINISTRATIVE CODE (6)            ,0.0,3,1,0,3,2,1
262,20,OTHER MISDEMEANORS (8),209.0,225,290,236,307,374,128
263,20,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,154.0,133,129,117,90,139,135
264,20,FELONY POSSESSION STOLEN PROPERTY            ,5.0,6,8,14,4,5,10
265,20,AGGRAVATED HARASSMENT 2               ,219.0,231,124,127,112,101,92
266,22,OTHER VIOLATIONS (1),8.0,4,3,2,3,1,2
267,22,HARASSMENT 2                          ,46.0,42,46,37,47,41,33
268,22,MURDER & NON NEGL. MANSLAUGHTER                                ,0.0,0,0,0,0,1,0
269,22,BURGLARY                              ,2.0,6,2,3,3,1,0
270,22,GRAND LARCENY OF MOTOR VEHICLE                                  ,0.0,0,1,0,0,1,0
271,22,RAPE                                  ,1.0,4,1,3,1,5,3
272,22,INTOXICATED & IMPAIRED DRIVING              ,0.0,1,3,3,1,2,2
273,22,CRIMINAL TRESPASS,0.0,1,0,1,1,5,2
274,22,UNAUTHORIZED USE OF A VEHICLE           ,0.0,3,0,0,0,1,1
275,22,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),14.0,13,8,7,6,10,3
276,22,ADMINISTRATIVE CODE (6)            ,0.0,1,0,2,0,1,0
277,22,OTHER MISDEMEANORS (8),62.0,44,52,50,21,20,10
278,22,MISDEMEANOR DANGEROUS WEAPONS (5)               ,8.0,9,7,4,6,8,5
279,22,MISDEMEANOR SEX CRIMES (4),7.0,13,6,5,9,10,3
280,22,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,1.0,2,0,2,1,0,1
281,22,PETIT LARCENY                         ,121.0,110,83,90,69,57,61
282,22,FELONY ASSAULT                        ,7.0,5,11,3,6,5,4
283,22,FELONY DANGEROUS DRUGS  (1),3.0,4,1,6,0,0,6
284,22,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,2.0,0,4,4,1,2,1
285,22,OTHER FELONIES (4),7.0,5,2,5,2,5,5
286,22,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,2.0,5,1,7,2,0,3
287,22,FELONY POSSESSION STOLEN PROPERTY            ,1.0,0,0,0,0,0,1
288,23,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,46.0,46,71,106,100,148,89
289,23,OTHER FELONIES (4),174.0,176,185,183,196,142,157
290,23,MISDEMEANOR DANGEROUS WEAPONS (5)               ,90.0,91,107,136,121,69,49
291,23,MISDEMEANOR SEX CRIMES (4),44.0,42,66,67,73,72,77
292,23,MISDEMEANOR DANGEROUS DRUGS  (1),1097.0,732,773,952,910,939,307
293,23,CRIMINAL TRESPASS,505.0,656,643,385,398,234,122
294,23,UNAUTHORIZED USE OF A VEHICLE           ,12.0,9,12,9,13,9,3
295,23,OFFENSES AGAINST THE PERSON (7)      ,30.0,34,26,19,19,23,32
296,23,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,35.0,36,22,20,40,12,5
297,23,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),248.0,272,247,212,225,197,170
298,23,FRAUDS (3)                    ,49.0,59,84,49,54,34,52
299,23,AGGRAVATED HARASSMENT 2               ,400.0,406,255,301,385,327,323
300,23,FELONY DANGEROUS DRUGS  (1),343.0,258,256,262,223,222,105
301,23,FELONY SEX CRIMES (3),16.0,11,7,20,30,20,24
302,23,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,81.0,75,91,92,129,110,150
303,23,RAPE                                  ,29.0,17,15,24,21,14,9
304,23,ROBBERY                               ,271.0,266,255,221,192,142,145
305,23,BURGLARY                              ,103.0,99,107,109,96,95,72
306,23,GRAND LARCENY                         ,320.0,383,342,330,315,315,296
307,23,INTOXICATED & IMPAIRED DRIVING              ,46.0,67,67,44,23,20,20
308,23,PETIT LARCENY                         ,621.0,743,718,688,686,821,838
309,23,OTHER VIOLATIONS (1),98.0,65,42,27,24,15,6
310,23,FELONY POSSESSION STOLEN PROPERTY            ,7.0,5,33,26,8,8,16
311,23,VEHICLE AND TRAFFIC LAWS              ,34.0,30,39,37,40,44,53
312,23,OTHER MISDEMEANORS (8),469.0,536,454,539,635,461,276
313,24,PETIT LARCENY                         ,980.0,1051,977,1094,1106,1350,1433
314,24,MISDEMEANOR SEX CRIMES (4),38.0,34,37,29,56,55,38
315,24,MURDER & NON NEGL. MANSLAUGHTER                                ,4.0,2,1,1,1,2,3
316,24,ROBBERY                               ,178.0,160,132,141,129,140,139
317,24,FELONY ASSAULT                        ,131.0,152,121,106,130,128,122
318,24,GRAND LARCENY                         ,576.0,547,563,597,671,617,598
319,24,GRAND LARCENY OF MOTOR VEHICLE                                  ,46.0,42,44,54,29,41,56
320,24,OTHER MISDEMEANORS (8),394.0,333,342,332,293,280,177
321,24,AGGRAVATED HARASSMENT 2               ,294.0,218,153,124,123,97,98
322,24,FRAUDS (3)                    ,41.0,36,43,65,61,63,58
323,24,ADMINISTRATIVE CODE (6)            ,6.0,1,2,4,3,0,1
324,24,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),86.0,85,95,86,72,71,68
325,24,VEHICLE AND TRAFFIC LAWS              ,28.0,33,27,28,31,32,31
326,24,INTOXICATED & IMPAIRED DRIVING              ,18.0,23,34,19,21,31,15
327,24,ASSAULT 3 AND RELATED OFFENSES        ,380.0,383,358,282,277,256,278
328,24,MISDEMEANOR DANGEROUS DRUGS  (1),451.0,347,337,324,383,238,86
329,24,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,22.0,16,11,6,9,6,4
330,24,UNAUTHORIZED USE OF A VEHICLE           ,10.0,11,5,9,6,5,4
331,24,CRIMINAL TRESPASS,153.0,165,128,128,85,77,39
332,24,FELONY SEX CRIMES (3),11.0,5,10,20,14,20,11
333,24,FELONY DANGEROUS DRUGS  (1),147.0,145,99,77,53,56,32
334,24,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,26.0,62,35,54,59,86,52
335,24,OTHER FELONIES (4),82.0,90,84,73,57,56,70
336,24,FELONY POSSESSION STOLEN PROPERTY            ,8.0,8,8,4,5,10,9
337,24,OTHER VIOLATIONS (1),47.0,18,56,9,3,5,4
338,24,HARASSMENT 2                          ,689.0,604,663,670,698,713,797
339,25,UNAUTHORIZED USE OF A VEHICLE           ,11.0,11,12,12,11,14,15
340,25,INTOXICATED & IMPAIRED DRIVING              ,165.0,127,90,64,79,64,62
341,25,VEHICLE AND TRAFFIC LAWS              ,60.0,55,35,72,70,44,58
342,25,OFFENSES AGAINST THE PERSON (7)      ,17.0,14,14,27,15,11,20
343,25,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),182.0,188,209,192,177,114,133
